human,system
나는 항상 왜 이러지?,무슨 걱정 있으신가요?
아직 확신이 들지도 않고 결혼이 망설여져.,결혼을 망설이고 계시는군요. 왜 그렇게 생각을 하시는지 좀 더 자세히 얘기해 주실 수 있으세요?
열심히 취업하려는데 왜 계속 탈락만 하는지 모르겠어.,계속 탈락하니 아주 속상하시겠어요.
나를 괴롭히는 친구들보다 내가 시험을 더 잘 봤으면 좋겠어.,그 친구들보다 시험을 더 잘 보고 싶은 이유가 있나요?
내가 잘못한 것도 없는데 딸이 나랑 얘기하는 것조차 싫어해.,조금 더 자세히 얘기해주시겠어요?
아들이 내게 자꾸 대들어서 이제 대화를 할 수도 없어.,사용자님이 방어적인 이유는 무엇인가요?
아내와 대화할수록 상처만 받아서 이제는 떨어져 지내고 싶어.,무슨 일인지 더 자세히 말씀해 주시겠어요?
딸이 집을 나가 버렸어. 내가 도대체 어떻게 해야 해?,왜 그렇게 생각하시는지 말씀해 주세요.
이제는 아내가 나를 그냥 내버려 두면 좋겠어. 더 이상 부딪히고 싶지 않아.,지금 무엇 때문에 이렇게 느끼고 계신가요?
집에서만이라도 혼자 있고 싶어.,왜 그러시는지 자세히 얘기해 주시겠어요?
딸이 대학이 우선이라는 내 말을 들으려고도 안 해서 화가 나.,어떤 상황인지 자세히 얘기해주시겠어요?
자식들에게 더 이상 연락조차 기대하지 않으려고 해.,자식들의 연락을 기대하지 않으려고 하시는군요. 더 자세히 말씀해 주시겠어요?
아내와 싸우는 게 이제는 귀찮을 정도야.,무엇이 사용자님을 그렇게 느끼게 했나요?
좋은 자리가 있어서 퇴직금으로 편의점을 하나 차렸는데 앞에 슈퍼마켓에서 항의를 하네.,좀 더 자세히 말씀해 주시겠어요? 좋은 자리가 있어 슈퍼 맞은편에 편의점을 차렸다고요?
나에게 시간이 얼마 남지 않았다고 말하는 의사를 믿을 수 없어. 당황스러워.,의사 선생님이 시간이 얼마 남지 않았다고 해서 당황스러웠겠어요.
나는 시키는 대로 했는데 일을 못 한다는 소리를 들었어.,시키는 대로 했는데 그런 소리를 들어서 기분이 상하셨겠어요.
칼퇴근한다고 상사한테 한 소리 들었어.,기분이 많이 안 좋으시군요.
회사에서 잘못한 일을 개인에게 책임지라고 하는 게 말이 돼?,회사에서 잘못한 일을 개인에게 책임지라고 해서 화가 나셨군요.
다른 팀 직원이 나한테 직접 일을 시키는 것 아니라고 봐서 상사에게 얘기했어. 어이없지 참,다른 팀 직원이 나에게 일을 시키는 것이 어이가 없으셨군요.
좋아한다는 고백을 받았는데 사귀기는 싫어. 자꾸 방어적으로 돼.,방어적이어서 연애를 시작하기 힘드신 거군요. 어떤 상황인지 자세히 알려줄 수 있어요?
시어머니가 연락하지 않았으면 좋겠어.,시어머니와 사이가 안 좋으신가요? 더 자세히 말씀해 주실 수 있나요?
결혼하면 아이를 꼭 낳아야 할까?,아이 문제로 고민이 많으신가 봐요. 아이를 낳고 싶으신가요?
요즘은 병원을 너무 자주 가는 것 같아.,몸이 불편하신 곳이 있으신가요?
난 그냥 혼자 있고 싶은데 왜 자꾸 말을 시키는 거야? 이해가 안 돼.,누가 자꾸 귀찮게 말을 시키나 보네요.
요즘 인간관계에 있어서 방어적인 태도를 취하게 되는 것 같아.,어떠한 부분 때문에 방어적으로 변했다고 느끼시나요?
