human,system,
취업해야 하는데 요즘 구직 자리가 많이 없어서 너무 슬퍼.,구직 자리가 많이 없어서 취업이 어려워 슬프시군요.,
요즘 취업 시장이 좋지 않아서 좋은 직장이 많이 없는 것 같아.,요즘 취업 시장이 아주 좋지 않다고 들었어요.,
회사에서 해고당했어.,저런 아주 속상하시겠어요.,
직장에서 가깝게 지내던 분이 퇴사했어.,가깝게 지내던 분이 퇴사해서 슬프시겠어요.,
진로 문제 때문에 너무 고민이 많아. 정말 울적해.,진로 때문에 고민이 많이 되나 보군요.,
고객들이 나에게 폭언을 할 때마다 자존감도 떨어지고 너무 슬퍼.,고객들의 폭언으로 자존감도 떨어지고 아주 슬프시군요.,
올해 진급 예정이었는데 진급이 안 됐어. 슬퍼.,예정된 진급이 되지 않아 슬프시군요. 이런 상황을 어떻게 극복할 수 있을까요? ,
이번에 취업 면접을 봤는데 망친 것 같아서 슬퍼.,면접을 망친 것 같아 슬프시군요. 이럴 때 기분이 좋아질 방법이 있을까요? ,
코로나바이러스 때문에 회사에서 해고됐어. 너무 슬퍼.,코로나바이러스 때문에 해고되셨다니 너무 슬프시겠어요. 슬픔을 극복하는 방법이 있으신가요?,
계약직으로 일하다가 정규직이 될 줄 알았는데 퇴사 되어 너무 착잡해.,계약직으로 다닌 회사를 그만두시는군요. 이후 계획이 있으신가요?,
나중에 내가 어떤 일을 어떻게 하면서 살아야 할지 모르겠어.,진로에 대한 고민이신 건가요?,
아내가 임신 중이라 나름 도와준다고 도와주고 있어.,임신 중인 아내를 도와주고 계시는군요. 좀 더 자세히 얘기해주시겠어요.,
엄마가 내 생일에는 왜 아무도 초대하지 않았냐고 물어봐서 슬펐어.,어머니의 질문이 사용자님을 슬프게 한 것 같군요.,
중학교 이 학년 때 같은 반이었던 친구에게 문자를 보냈는데 답이 없어서 슬퍼.,사용자님을 슬프게 한 이유를 더 자세히 말해 주세요.,
같이 밥 먹을 친구가 없어서 화장실에서 혼자 밥을 먹었더니 정말 서러웠어.,외롭게 밥을 먹어서 슬퍼하시는 것 같군요.,
같은 반 친구가 나를 너무 괴롭혀서 정말 서러워.,어떤 상황인지 더 자세히 설명해 주시겠어요?,
친구한테 맞아서 입술이 터졌는데도 엄마는 눈치채지 못하는 것 같아서 슬퍼.,어머니의 태도 때문에 더욱 슬퍼하시는 것 같아요.,
학기가 시작되자마자 나를 괴롭히는 무리가 생겨서 슬퍼.,나를 괴롭히는 무리가 생겼다니 조금 더 자세히 말씀해 주시겠어요?,
수학여행을 준비하는데 우리 조 친구들이 나를 무시하는 것 같아.,같은 조 친구들의 태도 때문에 우울하셨군요.,
아직도 같이 밥 먹을 친구를 찾지 못해서 슬퍼.,같이 밥을 먹을 친구가 없으시군요. 더 자세히 말씀해 주시겠어요?,
